year,week,date,state,suspected,labpositive,labnegative,untested
2017,9,03/03/2017,Bauchi,1,0,0,1
2017,9,03/03/2017,Plateau,1,0,0,1
2017,9,03/03/2017,Taraba,1,0,0,1
2017,10,10/03/2017,Edo,3,3,0,0
2017,11,17/03/2017,Edo,2,2,0,0
2017,11,17/03/2017,FCT,1,0,0,1
2017,11,17/03/2017,Gombe,2,0,2,0
2017,11,17/03/2017,Nasarawa,1,0,1,0
2017,12,24/03/2017,Adamawa,6,0,0,6
2017,12,24/03/2017,Bauchi,1,0,0,1
2017,12,24/03/2017,Ebonyi,1,0,0,1
2017,12,24/03/2017,Edo,13,10,3,0
2017,12,24/03/2017,Nasarawa,3,0,3,0
2017,12,24/03/2017,Ogun,3,0,3,0
2017,13,01/04/2017,Bauchi,2,1,2,-1
2017,13,01/04/2017,Ekiti,1,0,1,0
2017,13,01/04/2017,Gombe,1,0,1,0
2017,13,01/04/2017,Kogi,2,0,2,0
2017,13,01/04/2017,Ondo,8,1,7,0
2017,13,01/04/2017,Osun,1,0,1,0
2017,13,01/04/2017,Plateau,3,1,2,0
2017,13,01/04/2017,Taraba,1,0,1,0
2017,14,08/04/2017,Ebonyi,1,1,0,0
2017,14,08/04/2017,Edo,3,1,2,0
2017,14,08/04/2017,FCT,2,0,2,0
2017,14,08/04/2017,Gombe,1,0,1,0
2017,14,08/04/2017,Nasarawa,1,0,1,0
2017,14,08/04/2017,Ondo,9,0,9,0
2017,14,08/04/2017,Oyo,1,0,1,0
2017,14,08/04/2017,Plateau,1,0,1,0
2017,15,14/04/2017,Bauchi,2,0,0,2
2017,15,14/04/2017,Kano,1,0,0,1
2017,16,21/04/2017,Enugu,1,1,0,0
2017,16,21/04/2017,Kano,1,0,1,0
2017,16,21/04/2017,Ondo,2,0,0,2
2017,17,28/04/2017,Bauchi,1,0,0,1
2017,17,28/04/2017,Taraba,1,0,0,1
2017,17,28/04/2017,Yobe,1,0,0,1
2017,18,05/05/2017,Kano,2,0,0,2
2017,19,12/05/2017,Jigawa,1,0,1,0
2017,19,12/05/2017,Kaduna,1,0,1,0
2017,20,19/05/2017,Edo,10,0,0,10
2017,20,19/05/2017,Taraba,1,0,0,1
2017,21,26/05/2017,Cross River,1,0,1,0
2017,21,26/05/2017,Nasarawa,1,0,1,0
2017,22,02/06/2017,Cross River,1,0,1,0
2017,22,02/06/2017,Nasarawa,1,0,1,0
2017,22,02/06/2017,Plateau,2,1,1,0
2017,23,09/06/2017,Anambra,1,1,0,0
2017,23,09/06/2017,Ogun,2,0,2,0
2017,24,16/06/2017,Edo,4,4,0,0
2017,24,16/06/2017,Katsina,3,0,3,0
2017,24,16/06/2017,Kogi,1,0,1,0
2017,24,16/06/2017,Ogun,1,0,1,0
2017,24,16/06/2017,Taraba,1,0,1,0
2017,25,25/06/2017,Bauchi,1,0,0,1
2017,25,25/06/2017,Edo,1,1,0,0
2017,25,25/06/2017,Ogun,1,0,0,1
2017,25,25/06/2017,Ondo,6,6,0,0
