"state","date","week","year","suspected","labpositive","labnegative","untested"
"Abia","03/03/2017",9,2017,0,0,0,0
"Adamawa","03/03/2017",9,2017,0,0,0,0
"Akwa Ibom","03/03/2017",9,2017,0,0,0,0
"Anambra","03/03/2017",9,2017,0,0,0,0
"Bauchi","03/03/2017",9,2017,1,0,0,1
"Bayelsa","03/03/2017",9,2017,0,0,0,0
"Benue","03/03/2017",9,2017,0,0,0,0
"Borno","03/03/2017",9,2017,0,0,0,0
"Cross River","03/03/2017",9,2017,0,0,0,0
"Delta","03/03/2017",9,2017,0,0,0,0
"Ebonyi","03/03/2017",9,2017,0,0,0,0
"Edo","03/03/2017",9,2017,0,0,0,0
"Ekiti","03/03/2017",9,2017,0,0,0,0
"Enugu","03/03/2017",9,2017,0,0,0,0
"FCT","03/03/2017",9,2017,0,0,0,0
"Gombe","03/03/2017",9,2017,0,0,0,0
"Imo","03/03/2017",9,2017,0,0,0,0
"Jigawa","03/03/2017",9,2017,0,0,0,0
"Kaduna","03/03/2017",9,2017,0,0,0,0
"Kano","03/03/2017",9,2017,0,0,0,0
"Katsina","03/03/2017",9,2017,0,0,0,0
"Kebbi","03/03/2017",9,2017,0,0,0,0
"Kogi","03/03/2017",9,2017,0,0,0,0
"Kwara","03/03/2017",9,2017,0,0,0,0
"Lagos","03/03/2017",9,2017,0,0,0,0
"Nasarawa","03/03/2017",9,2017,0,0,0,0
"Niger","03/03/2017",9,2017,0,0,0,0
"Ogun","03/03/2017",9,2017,0,0,0,0
"Ondo","03/03/2017",9,2017,0,0,0,0
"Osun","03/03/2017",9,2017,0,0,0,0
"Oyo","03/03/2017",9,2017,0,0,0,0
"Plateau","03/03/2017",9,2017,1,0,0,1
"Rivers","03/03/2017",9,2017,0,0,0,0
"Sokoto","03/03/2017",9,2017,0,0,0,0
"Taraba","03/03/2017",9,2017,1,0,0,1
"Yobe","03/03/2017",9,2017,0,0,0,0
"Zamfara","03/03/2017",9,2017,0,0,0,0
"Abia","10/03/2017",10,2017,0,0,0,0
"Adamawa","10/03/2017",10,2017,0,0,0,0
"Akwa Ibom","10/03/2017",10,2017,0,0,0,0
"Anambra","10/03/2017",10,2017,0,0,0,0
"Bauchi","10/03/2017",10,2017,0,0,0,0
"Bayelsa","10/03/2017",10,2017,0,0,0,0
"Benue","10/03/2017",10,2017,0,0,0,0
"Borno","10/03/2017",10,2017,0,0,0,0
"Cross River","10/03/2017",10,2017,0,0,0,0
"Delta","10/03/2017",10,2017,0,0,0,0
"Ebonyi","10/03/2017",10,2017,0,0,0,0
"Edo","10/03/2017",10,2017,3,3,0,0
"Ekiti","10/03/2017",10,2017,0,0,0,0
"Enugu","10/03/2017",10,2017,0,0,0,0
"FCT","10/03/2017",10,2017,0,0,0,0
"Gombe","10/03/2017",10,2017,0,0,0,0
"Imo","10/03/2017",10,2017,0,0,0,0
"Jigawa","10/03/2017",10,2017,0,0,0,0
"Kaduna","10/03/2017",10,2017,0,0,0,0
"Kano","10/03/2017",10,2017,0,0,0,0
"Katsina","10/03/2017",10,2017,0,0,0,0
"Kebbi","10/03/2017",10,2017,0,0,0,0
